Title,Date,Date Start,Date End,Language,Resource Type,Genre,Number of Items
Commentarii Academiae scientiarum imperialis Petropolitanae,1728,1728,1751,Latin,text | still image | cartographic,Periodicals,1
"Historie Van Barbaryen, En des zelfs Zee-Roovers. Behelzende een beschrijving van de Koningrijken en Steden Algiers, Tunis, Salé, en Tripoli ... In't Fransch beschreeven door den Eerwaardigen Vader Pieter Dan ... En in't Nederduitsch gebracht door G. v. Broekhuizen. Vervolgd met een Tweede Deel, Bevattende de Handelingen en Geschiedenissen tusschen den Staat der Vereenigde Nederlanden, en die van de Zee-Roovers in Barbaryen ... Door S. de Vries.",1684,1684,,Dutch,still image | text,Books,1
Jabez Fitch diary,1776,1776,1777,English,text,diaries,2
The pure oil news,1920,1920,1965,English,text | still image,Periodicals,1
Salesology,1923,1923,1928,English,still image | text,Periodicals,1
La Mode illustreé,1860,1860,,French,still image | text,Periodicals,1
"The life of Toussaint L'Ouverture : the Negro patriot of Hayti ; comprising an account of the struggle for liberty in the island, and a sketch of its history to the present period",1853,1853,,,text,,1
Billy Rose Theater Collection clipping file,,,,,still image,Clippings,44
"Castle, Vernon and Irene: Scrapbook.",various dates,,,,,,1
"Aerial views of New York City, 1927-1939",1927,1927,1939,,still image,Photographs,3
"Drawings - German, Austrian, Czech, Swiss",,,,,still image,Drawings,1
Koronatsīonnyia torzhestva: al'bom Sviashchennago Koronovanīia Ikh Imperatorskikh Velichestv Gosudaria Imperatora Nikolaia Aleksandrovicha i Gosudaryni Imperaritsy Aleksandry Ḟeodorovny,1896,1896,,Russian,still image,Prints | Periodical illustrations,3
"Die Gesandschafft Ihro Käyserl. Majest. von Gross-Russland an den sinesischen Käyser: wie solche anno 1719. aus St. Petersburg nach der sinesischen Haupt- und Residentz-Stadt Pekin abgefertiget; bey dessen Erzehlung die Sitten und Gebräuche der Chineser, Mongalen und anderer Tartarischer Völcker zugleich beschrieben, und mit einigen Kupffer-Stücken vorgestellet werden",1725,1725,,,still image,Engravings | Books,3
