Demographic,Borough,Cohort,Total Cohort,Total Grads,Total Regents,Advanced Regents,Regents w/o Advanced ,Local,Still Enrolled,Dropped Out
Special Education,Brooklyn,2006,3183,789,310,43,267,479,1289,666
Special Education,Manhattan,2006,2170,686,327,26,301,359,774,424
Special Education,Queens,2006,2345,643,259,29,230,384,952,489
Special Education,Staten Island,2006,778,308,113,13,100,195,240,141
General Education,Bronx,2006,12690,7783,6051,1541,4510,1732,2836,1747
General Education,Brooklyn,2006,18994,12251,10130,3674,6456,2121,4347,2065
General Education,Manhattan,2006,14246,9725,8388,2755,5633,1337,2945,1260
General Education,Queens,2006,17213,11822,10026,3608,6418,1796,3320,1767
General Education,Staten Island,2006,3825,3038,2705,1179,1526,333,443,273
Asian,Bronx,2006,830,707,666,491,175,41,78,34
Asian,Brooklyn,2006,2949,2296,2176,1437,739,120,432,190
Asian,Manhattan,2006,2113,1739,1658,1119,539,81,238,115
Asian,Queens,2006,5035,3835,3472,1793,1679,363,784,352
Asian,Staten Island,2006,439,392,365,243,122,27,22,17
Black,Bronx,2006,5161,2850,2089,269,1820,761,1258,771
Black,Brooklyn,2006,10886,6024,4424,870,3554,1600,3069,1320
Black,Manhattan,2006,4655,2632,2088,342,1746,544,1280,502
Black,Queens,2006,5139,2939,2202,405,1797,737,1308,689
Black,Staten Island,2006,771,427,333,85,248,94,195,104
Hispanic,Bronx,2006,8850,4469,3121,534,2587,1348,2360,1507
Hispanic,Brooklyn,2006,5327,2634,1976,461,1515,658,1582,903
Hispanic,Manhattan,2006,7766,4478,3514,699,2815,964,1976,1009
Hispanic,Queens,2006,6867,3879,3068,765,2303,811,1769,989
Hispanic,Staten Island,2006,906,547,425,114,311,122,194,116
White,Bronx,2006,636,444,396,254,142,48,99,77
White,Brooklyn,2006,2850,1997,1798,930,868,199,501,301
White,Manhattan,2006,1743,1468,1380,603,777,88,197,48
White,Queens,2006,2387,1736,1484,654,830,252,382,206
White,Staten Island,2006,2461,1961,1678,746,932,283,268,174
Female,Bronx,2006,7505,4455,3319,773,2546,1136,1683,1070
Female,Brooklyn,2006,10790,7034,5618,2048,3570,1416,2319,1163
Female,Manhattan,2006,8907,6214,5205,1593,3612,1009,1708,753
Female,Queens,2006,9356,6578,5411,2065,3346,1167,1718,878
Female,Staten Island,2006,2190,1665,1389,619,770,276,289,179
Male,Bronx,2006,8074,4069,2993,785,2208,1076,2141,1332
Male,Brooklyn,2006,11387,6006,4822,1669,3153,1184,3317,1568
Male,Manhattan,2006,7509,4197,3510,1188,2322,687,2011,931
Male,Queens,2006,10202,5887,4874,1572,3302,1013,2554,1378
Male,Staten Island,2006,2413,1681,1429,573,856,252,394,235
